ReportDate,ReportLevel,ReportLevelIdentifier,Description,Currency,6_2_1,6_2_2,6_2_3,6_2_4,6_2_5,6_2_6,6_2_7,6_2_8,6_2_9,6_2_10,6_2_11,6_2_12,6_2_13,6_2_14,6_2_15
2017-03-31,DefaultFund,ICNL_F&O,HouseIM_PreHaircut,EUR,12373765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12373765.00
2017-03-31,DefaultFund,ICNL_F&O,HouseIM_PostHaircut,EUR,12373765.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,12373765.00
2017-03-31,DefaultFund,ICNL_F&O,ClientIM_PreHaircut,EUR,3458667.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350000000.00,353458667.14
2017-03-31,DefaultFund,ICNL_F&O,ClientIM_PostHaircut,EUR,3458667.14,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350000000.00,353458667.14
2017-03-31,DefaultFund,ICNL_F&O,TotalIM_PreHaircut,EUR,15832432.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350000000.00,365832432.14
2017-03-31,DefaultFund,ICNL_F&O,TotalIM_PostHaircut,EUR,15832432.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,0.00,350000000.00,365832432.14
